algorithm,trial_idx,total_time_s
Kyber768,0,0.00012740199986183143
Kyber768,1,0.00012761499988300784
Kyber768,2,0.00012175000006209302
Kyber768,3,0.00016836600002534396
Kyber768,4,0.00012517000004663714
Kyber768,5,0.00014490800003841287
Kyber768,6,0.00012731600008919486
Kyber768,7,0.0001264699999410368
Kyber768,8,0.00013103900005262403
Kyber768,9,0.00012774100014212308
Kyber768,10,0.0008580679998431151
Kyber768,11,0.00015559000007669965
Kyber768,12,0.00013922700009061373
Kyber768,13,0.00012764500002049317
Kyber768,14,0.00012720699987767148
Kyber768,15,0.00012317300001996045
Kyber768,16,0.00012152300018897222
Kyber768,17,0.00012795099996765202
Kyber768,18,0.00012710499981949397
Kyber768,19,0.00012987199988856446
Kyber768,20,0.00014851800005999394
Kyber768,21,0.00011304400004519266
Kyber768,22,0.00019166600009157264
Kyber768,23,0.00014019800005371508
Kyber768,24,0.00013935099991613242
Kyber768,25,0.0001279229998090159
Kyber768,26,0.00012611299985110236
Kyber768,27,0.002209630999914225
Kyber768,28,0.0001291739999942365
Kyber768,29,0.00014290400008576398
Kyber768,30,0.0001228839998930198
Kyber768,31,0.00011778500015680038
Kyber768,32,0.00011175300005561439
Kyber768,33,0.00011437499983912858
Kyber768,34,0.00014290800004346238
Kyber768,35,0.00012699300009444414
Kyber768,36,0.0001215439999668888
Kyber768,37,0.00015181699995991949
Kyber768,38,0.00012333199993008748
Kyber768,39,0.00012489499999901454
Kyber768,40,0.0001231530000040948
Kyber768,41,0.00012787099990418938
Kyber768,42,0.002194232999954693
Kyber768,43,0.00014793099990129122
Kyber768,44,0.00014534100000673789
Kyber768,45,0.00012437000009413168
Kyber768,46,0.00012542200011012028
Kyber768,47,0.00014158699991639878
Kyber768,48,0.000125192000041352
Kyber768,49,0.00014279100014391588
Kyber768,50,0.00012402099991959403
Kyber768,51,0.00014376900003298942
Kyber768,52,0.0001221519999035081
Kyber768,53,0.00012382999989313248
Kyber768,54,0.00012068599994563556
Kyber768,55,0.00011022700005014485
Kyber768,56,0.00011899199989784393
Kyber768,57,0.00038736199985578423
Kyber768,58,0.00012872699994659342
Kyber768,59,0.0001216579998981615
Kyber768,60,0.0001238070001363667
Kyber768,61,0.0001250230000096053
Kyber768,62,0.00011419799989198509
Kyber768,63,0.00013714799979425152
Kyber768,64,0.00012020200006190862
Kyber768,65,0.00013274599996293546
Kyber768,66,0.00012025999990328273
Kyber768,67,0.00012468299996726273
Kyber768,68,0.00012380599991956842
Kyber768,69,0.00012531500010481977
Kyber768,70,0.00012351200007287844
Kyber768,71,0.00015228500001285283
Kyber768,72,0.0001265349999357568
Kyber768,73,0.00013719200001105492
Kyber768,74,0.00012605400002030365
Kyber768,75,0.00012656500007324212
Kyber768,76,0.00012389299990900327
Kyber768,77,0.00012234099995112047
Kyber768,78,0.00015376800001831725
Kyber768,79,0.00013628900001094735
Kyber768,80,0.0001336570001058135
Kyber768,81,0.00012549400003081246
Kyber768,82,0.00012736999997287057
Kyber768,83,0.0001228189998982998
Kyber768,84,0.00012235899998813693
Kyber768,85,0.00011351100010870141
Kyber768,86,0.00014457099996434408
Kyber768,87,0.00012132499978179112
Kyber768,88,0.00014196799997989729
Kyber768,89,0.0001296269999784272
Kyber768,90,0.00011524500018822437
Kyber768,91,0.00012758999992001918
Kyber768,92,0.0001275140000416286
Kyber768,93,0.00012351899999885063
Kyber768,94,0.00014195099993230542
Kyber768,95,0.0001220910000938602
Kyber768,96,0.00013675699983650702
Kyber768,97,0.00011043600011362287
Kyber768,98,0.00012361699987195607
Kyber768,99,0.00012389900007292454
Kyber768,100,0.00012134100006733206
Kyber768,101,0.00015216199994938506
Kyber768,102,0.00013097999999445165
Kyber768,103,0.00012215800006742938
Kyber768,104,0.00013566899997385917
Kyber768,105,0.00012135900010434852
Kyber768,106,0.00012304999995649268
Kyber768,107,0.00012662099993576703
Kyber768,108,0.00012491800021052768
Kyber768,109,0.00014590599994335207
Kyber768,110,0.00012200000014672696
Kyber768,111,0.00013489599996319157
Kyber768,112,0.00013158200022189703
Kyber768,113,0.00012450100007299625
Kyber768,114,0.00012516500009951415
Kyber768,115,0.0001285670000470418
Kyber768,116,0.00012139700015723065
Kyber768,117,0.00013777399999526097
Kyber768,118,0.00011788400001933041
Kyber768,119,0.0001404699999056902
